,Song,Writer(s)[a],Original release,Producer(s),Year,Ref.
36,"""Dead Giveaway""",Richard Starkey Ronnie Wood,Stop and Smell the Roses,Ronnie Wood Ringo Starr,1981,[50]
37,"""Dear Santa""",Richard Starkey Mark Hudson Steve Dudas,I Wanna Be Santa Claus,Mark Hudson Ringo Starr,1999,[59]
38,"""Devil Woman""",Richard Starkey Vini Poncia,Ringo,Richard Perry,1973,[69]
39,"""Do You Like Me?"" (with Cilla Black)",Herbert Darnley †,Cilla (Television programme),–,1968,[70]
40,"""Don't Be Cruel""",Otis Blackwell Elvis Presley †,Time Takes Time (Japanese edition),Jeff Lynne,1992,[71]
41,"""Don't Go Where the Road Don't Go""",Richard Starkey Johnny Warman Gary Grainger,Time Takes Time,Jeff Lynne,1992,[46]
42,"""Don't Hang Up"" (featuring Chrissie Hynde)",Richard Starkey Mark Hudson Gary Burr,Choose Love,Mark Hudson Ringo Starr,2005,[65]
43,"""Don't Know a Thing About Love""",Richard Feldman Stan Lynch †,Time Takes Time,Don Was,1992,[46]
44,"""Don't Pass Me By""[d]",Richard Starkey,Give More Love,Ringo Starr,2017,[51]
45,"""A Dose of Rock 'n' Roll""",Carl Groszmann †,Ringo's Rotogravure,Arif Mardin,1976,[67]
46,"""Down and Out""",Richard Starkey,"B-side to ""Photograph""",Richard Perry,1973,[72]
47,"""Dream""",Johnny Mercer †,Sentimental Journey,George Martin,1970,[60]
48,"""Drift Away""",Mentor Williams †,Vertical Man,Mark Hudson Ringo Starr,1998,[73]
49,"""Drowning in the Sea of Love""",Kenny Gamble Leon Huff †,Ringo the 4th,Arif Mardin,1977,[63]
50,"""Drumming Is My Madness""",Harry Nilsson †,Stop and Smell the Roses,Harry Nilsson,1981,[50]
51,"""Early 1970""",Richard Starkey,"B-side to ""It Don't Come Easy""",George Harrison,1971,[74]
52,"""Easy for Me""",Harry Nilsson †,Goodnight Vienna,Richard Perry,1974,[48]
53,"""Electricity""",Richard Starkey Glen Ballard,Give More Love,Ringo Starr,2017,[51]
54,"""Elizabeth Reigns""",Richard Starkey Mark Hudson Gary Burr Steve Dudas Dean Grakal,Ringo Rama,Mark Hudson Ringo Starr,2003,[75]
55,"""English Garden""",Richard Starkey Mark Hudson Gary Burr Steve Dudas Dean Grakal,Ringo Rama,Mark Hudson Ringo Starr,2003,[75]
56,"""Everybody's in a Hurry But Me""",Joe Walsh Richard Starkey John Entwistle Eric Clapton Chris Stainton,Old Wave,Joe Walsh,1983,[47]
57,"""Everyday""",Richard Starkey Mark Hudson Dean Grakal Steve Dudas,Vertical Man (Japanese edition),Mark Hudson Ringo Starr,1998,[76]
58,"""Everyone and Everything""",Linda Perry †,EP3 (EP),Linda Perry,2022,[77]
59,"""Everyone Wins""",Richard Starkey Johnny Warman,Y Not,Ringo Starr Bruce Sugar,2010,[64]
60,"""Eye to Eye""",Richard Starkey Mark Hudson Steve Dudas Dean Grakal,Ringo Rama,Mark Hudson Ringo Starr,2003,[75]
61,"""Fading In Fading Out""",Richard Starkey Mark Hudson Gary Burr,Choose Love,Mark Hudson Ringo Starr,2005,[65]
62,"""Fastest Growing Heartache in the West""",Larry Kingston Fred Dycus †,Beaucoups of Blues,Pete Drake,1970,[44]
63,"""Feeling the Sunlight""",Paul McCartney †,Rewind Forward (EP),Ringo Starr,2023,[78]
64,"""Fill in the Blanks""",Richard Starkey Joe Walsh,Y Not,Ringo Starr Bruce Sugar,2010,[64]
65,"""For Love""",Richard Starkey Mark Hudson,Liverpool 8,Ringo Starr Mark Hudson Dave Stewart,2008,[79]
66,"""Free Drinks""",Richard Starkey Mark Hudson Gary Burr Steve Dudas Dean Grakal,Choose Love,Mark Hudson Ringo Starr,2005,[65]
67,"""Free Your Soul"" (featuring Dave Koz and José Antonio Rodríguez)",Richard Starkey Bruce Sugar,EP3 (EP),Ringo Starr Bruce Sugar,2022,[77]
68,"""Gave It All Up""",Richard Starkey Vini Poncia,Ringo the 4th,Arif Mardin,1977,[63]
69,"""Give It a Try""",Richard Starkey Mark Hudson Steve Dudas,Liverpool 8,Ringo Starr Mark Hudson Dave Stewart,2008,[79]
70,"""Give Me Back the Beat""",Richard Starkey Mark Hudson Gary Burr Steve Dudas Dean Grakal,Choose Love,Mark Hudson Ringo Starr,2005,[65]
71,"""Give More Love""",Richard Starkey Gary Nicholson,Give More Love,Ringo Starr,2017,[51]
72,"""Going Down""",Joe Walsh Richard Starkey,Old Wave,Joe Walsh,1983,[47]
73,"""Golden Blunders""",Jonathan Auer Kenneth Stringfellow †,Time Takes Time,Peter Asher,1992,[46]
74,"""Gone Are the Days""",Richard Starkey Mark Hudson Dave Stewart,Liverpool 8,Ringo Starr Mark Hudson Dave Stewart,2008,[79]
75,"""Goodnight Vienna (Reprise)""",John Lennon †,Goodnight Vienna,Richard Perry,1974,[48]
76,"""Gotta Get Up to Get Down""",Richard Starkey Joe Walsh,What's My Name,Ringo Starr,2019,[57]
77,"""Grow Old with Me""",John Lennon †,What's My Name,Ringo Starr,2019,[57]
78,"""Gypsies in Flight""",Richard Starkey Vini Poncia,Ringo the 4th,Arif Mardin,1977,[63]
79,"""Hard Times""",Peter Skellern †,Bad Boy,Vini Poncia,1978,[55]
80,"""Hard to Be True""",Richard Starkey Mark Hudson Gary Burr,Choose Love,Mark Hudson Ringo Starr,2005,[65]
81,"""Harry's Song""",Richard Starkey Mark Hudson Gary Burr Steve Dudas,Liverpool 8,Ringo Starr Mark Hudson Dave Stewart,2008,[79]
82,"""Have I Told You Lately That I Love You?""",Scott Wiseman †,Sentimental Journey,George Martin,1970,[60]
83,"""Have You Seen My Baby""",Randy Newman †,Ringo,Richard Perry,1973,[69]
84,"""Heart on My Sleeve""",Gallagher and Lyle †,Bad Boy,Vini Poncia,1978,[55]
85,"""Here's to the Nights""",Diane Warren †,Zoom In (EP),Ringo Starr Bruce Sugar,2020,[80]
86,"""Hey! Baby""",Margaret Cobb Bruce Channel †,Ringo's Rotogravure,Arif Mardin,1976,[67]
87,"""Hopeless""",Joe Walsh Richard Starkey,Old Wave,Joe Walsh,1983,[47]
88,"""Husbands and Wives""",Roger Miller †,Goodnight Vienna,Richard Perry,1974,[48]
89,"""I Call Your Name""[d]",John Lennon Paul McCartney †,–[e],Jeff Lynne,1990,[81]
90,"""I Don't Believe You""",Andy Sturmer Roger Manning †,Time Takes Time,Don Was,1992,[46]
91,"""I Keep Forgettin'""",Jerry Leiber Mike Stoller †,Old Wave,Joe Walsh,1983,[47]
92,"""I Really Love Her""",Richard Starkey Mark Hudson,Ringo Rama,Mark Hudson Ringo Starr,2003,[75]
93,"""I Think Therefore I Rock and Roll""",Richard Starkey Mark Hudson Dean Grakal Paul Santo,Ringo Rama,Mark Hudson Ringo Starr,2003,[75]
94,"""I Wanna Be Santa Claus""",Richard Starkey Mark Hudson Dick Monda,I Wanna Be Santa Claus,Mark Hudson Ringo Starr,1999,[59]
95,"""I Was Walkin'""",Richard Starkey Mark Hudson Dean Grakal,Vertical Man,Mark Hudson Ringo Starr,1998,[73]
96,"""I Wouldn't Have You Any Other Way""",Chuck Howard †,Beaucoups of Blues,Pete Drake,1970,[44]
97,"""If It's Love That You Want""",Richard Starkey Mark Hudson Gary Burr Steve Dudas,Liverpool 8,Ringo Starr Mark Hudson Dave Stewart,2008,[79]
98,"""Imagine Me There""",Richard Starkey Mark Hudson Gary Burr,Ringo Rama,Mark Hudson Ringo Starr,2003,[75]
99,"""In a Heartbeat""",Diane Warren †,Time Takes Time,Don Was,1992,[46]
100,"""In Liverpool""",Richard Starkey Dave Stewart,Ringo 2012,Ringo Starr,2012,[49]
101,"""In My Car""",Joe Walsh Richard Starkey Mo Foster Kim Goody,Old Wave,Joe Walsh,1983,[47]
102,"""Instant Amnesia""",Richard Starkey Mark Hudson Steve Dudas Dean Grakal,Ringo Rama,Mark Hudson Ringo Starr,2003,[75]
103,"""Island in the Sun""",Richard Starkey Todd Rundgren Richard Page Steve Lukather Gregg Rolie Warren Ham Gregg Bissonette,Postcards from Paradise,Ringo Starr,2015,[56]
104,"""It Don't Come Easy""",Richard Starkey,Non-album single,George Harrison,1971,[74]
105,"""(It's All Down to) Goodnight Vienna""",John Lennon †,Goodnight Vienna,Richard Perry,1974,[48]
106,"""It's Love""",Dean Grakal Mark Hudson Richard Starkey,Non-album single,–,2008,[82]
107,"""It's No Secret""",Richard Starkey Vini Poncia,Ringo the 4th,Arif Mardin,1977,[63]
108,"""It's Not Love That You Want""",Richard Starkey Dave Stewart,What's My Name,Ringo Starr,2019,[57]
109,"""I'd Be Talking All the Time""",Chuck Howard Larry Kingston †,Beaucoups of Blues,Pete Drake,1970,[44]
110,"""I'll Be Fine Anywhere""",Richard Starkey Mark Hudson Steve Dudas,Vertical Man,Mark Hudson Ringo Starr,1998,[73]
111,"""I'll Still Love You""",George Harrison †,Ringo's Rotogravure,Arif Mardin,1976,[67]
112,"""I'm a Fool to Care""",Ted Daffan †,Sentimental Journey,George Martin,1970,[60]
113,"""I'm Home""",Richard Starkey Mark Hudson Steve Dudas,Ringo Rama (Deluxe edition),Mark Hudson Ringo Starr,2003,[58]
114,"""I'm the Greatest""",John Lennon †,Ringo,Richard Perry,1973,[69]
115,"""I'm Yours""",Richard Starkey Mark Hudson Mark Nevin,Vertical Man,Mark Hudson Ringo Starr,1998,[73]
116,"""Just a Dream""",Richard Starkey Vini Poncia,"B-side to ""Wings"" and ""Drowning in the Sea of Love""",Arif Mardin,1977,[83] [84]
117,"""Just That Way""",Richard Starkey Bruce Sugar,Change the World (EP),Ringo Starr Bruce Sugar,2021,[66]
118,"""King of Broken Hearts""",Richard Starkey Mark Hudson Dean Grakal Steve Dudas,Vertical Man,Mark Hudson Ringo Starr,1998,[73]
119,"""King of the Kingdom""",Richard Starkey Van Dyke Parks,Give More Love,Ringo Starr,2017,[51]
120,"""La De Da""",Richard Starkey Mark Hudson Dean Grakal Steve Dudas,Vertical Man,Mark Hudson Ringo Starr,1998,[73]
121,"""Las Brisas""",Nancy Andrews Richard Starkey,Ringo's Rotogravure,Arif Mardin,1976,[67]
122,"""Lady Gaye""",Vini Poncia Richard Starkey Clifford T. Ward,Ringo's Rotogravure,Arif Mardin,1976,[67]
123,"""Laughable""",Richard Starkey Peter Frampton,Give More Love,Ringo Starr,2017,[51]
124,"""Lay Down Your Arms"" (with Stevie Nicks)",Harry Nilsson †,For the Love of Harry: Everybody Sings Nilsson,Don Was,1995,[85]
125,"""Let Love Lead""",Richard Starkey Gary Nicholson,Postcards from Paradise,Ringo Starr,2015,[56]
126,"""Let the Rest of the World Go By""",Ernest Ball Karen Brennan †,Sentimental Journey,George Martin,1970,[60]
127,"""Let's Be Friends""",Bruce Sugar Sam Hollander †,EP3 (EP),Ringo Starr Bruce Sugar,2022,[77]
128,"""Let's Change the World""",Steve Lukather Joseph Williams †,Change the World (EP),Ringo Starr Bruce Sugar,2021,[66]
129,"""Life Is Good""",Richard Starkey Gary Burr,What's My Name,Ringo Starr,2019,[57]
130,"""Lipstick Traces (On a Cigarette)""",Naomi Neville †,Bad Boy,Vini Poncia,1978,[55]
131,"""The Little Drummer Boy""",Harry Simeone Henry Onorati Katherine K. Davis †,I Wanna Be Santa Claus,Mark Hudson Ringo Starr,1999,[59]
132,"""Liverpool 8""",Richard Starkey Dave Stewart,Liverpool 8,Ringo Starr Mark Hudson Dave Stewart,2008,[79]
133,"""Living in a Pet Shop""",Roger Brown †,Scouse the Mouse,Hugh Murphy,1977,[61]
134,"""Loser's Lounge""",Bobby Pierce †,Beaucoups of Blues,Pete Drake,1970,[44]
135,"""Love Don't Last Long""",Chuck Howard †,Beaucoups of Blues,Pete Drake,1970,[44]
136,"""Love First, Ask Questions Later""",Richard Starkey Mark Hudson Gary Burr Dean Grakal,Ringo Rama,Mark Hudson Ringo Starr,2003,[75]
137,"""Love Is""",Richard Starkey Mark Hudson Gary Burr Steve Dudas,Liverpool 8,Ringo Starr Mark Hudson Dave Stewart,2008,[79]
138,"""Love Is a Many Splendoured Thing""",Sammy Fain Paul Francis Webster †,Sentimental Journey,George Martin,1970,[60]
139,"""Love Me Do""[d]",John Lennon Paul McCartney †,Vertical Man,Mark Hudson Ringo Starr,1998,[73]
140,"""Magic""",Richard Starkey Steve Lukather,What's My Name,Ringo Starr,2019,[57]
141,"""A Man Like Me""",Ruan O'Lochlainn †,Bad Boy,Vini Poncia,1978,[55]
142,"""Me and You""",Richard Starkey Mark Hudson Steve Dudas,Choose Love,Mark Hudson Ringo Starr,2005,[65]
143,"""Memphis in Your Mind""",Richard Starkey Mark Hudson Gary Burr Steve Dudas Dean Grakal,Ringo Rama,Mark Hudson Ringo Starr,2003,[75]
144,"""Mindfield""",Richard Starkey Mark Hudson Dean Grakal Steve Dudas,Vertical Man,Mark Hudson Ringo Starr,1998,[73]
145,"""Missouri Loves Company""",Richard Starkey Mark Hudson Steve Dudas Dean Grakal,Ringo Rama,Mark Hudson Ringo Starr,2003,[75]
146,"""Miss Jean""",Mike Campbell Benmont Tench †,Rewind Forward (EP),Ringo Starr,2023,[78]
147,"""Money""[d]",Janie Bradford Berry Gordy †,What's My Name,Ringo Starr,2019,[57]
148,"""Monkey See – Monkey Do""",Michael Franks †,Bad Boy,Vini Poncia,1978,[55]
149,"""A Mouse Like Me""",Ruan O'Lochlainn †,Scouse the Mouse,Hugh Murphy,1977,[61]
150,"""Mr. Double-It-Up""",Richard Starkey Mark Hudson Steve Dudas Dean Grakal,Vertical Man (Japanese edition),Mark Hudson Ringo Starr,1998,[76]
151,"""Mystery of the Night""",Richard Starkey Richard Marx,Y Not,Ringo Starr Bruce Sugar,2010,[64]
152,"""Nashville Jam""",Richard Starkey Chuck Howard Sorrells Pickard Jim Buchanan Charlie Daniels Pete Drake D. J. Fontana Buddy Harman Grover Lavender Jerry Kennedy Junior Huskey Ben Keith Dave Kirby Charlie McCoy Jerry Reed George Richey Jerry Shook,Beaucoups of Blues (1995 reissue),Pete Drake,1995,[86]
153,"""Never Without You""",Richard Starkey Mark Hudson Gary Nicholson,Ringo Rama,Mark Hudson Ringo Starr,2003,[75]
154,"""Night and Day""",Cole Porter †,Sentimental Journey,George Martin,1970,[60]
155,"""No No Song""",Hoyt Axton David Jackson †,Goodnight Vienna,Richard Perry,1974,[48]
156,"""Nonsense""",Steve Allen †,Alice in Wonderland (1985 film),–,1985,[87]
157,"""Not Enough Love in This World""",Joseph Williams Steve Lukather †,Zoom In (EP),Ringo Starr Bruce Sugar,2021,[80]
158,"""Not Looking Back""",Richard Starkey Richard Marx,Postcards from Paradise,Ringo Starr,2015,[56]
159,"""Now That She's Gone Away""",Richard Starkey Mark Hudson Gary Burr,Liverpool 8,Ringo Starr Mark Hudson Dave Stewart,2008,[79]
160,"""Occapella""",Allen Toussaint †,Goodnight Vienna,Richard Perry,1974,[48]
161,"""Oh My Lord""",Richard Starkey Mark Hudson Gary Burr Steve Dudas Dean Grakal,Choose Love,Mark Hudson Ringo Starr,2005,[65]
162,"""Oh My My""",Richard Starkey Vini Poncia,Ringo,Richard Perry,1973,[69]
163,"""OK Ray""",Richard Starkey Mark Hudson Steve Dudas Hart Foote,Ringo Rama (Deluxe edition),Mark Hudson Ringo Starr,2003,[58]
164,"""Old Time Relovin'""",Vini Poncia Richard Starkey,Bad Boy,Vini Poncia,1978,[55]
165,"""One""",Richard Starkey Mark Hudson Dean Grakal Steve Dudas,Vertical Man,Mark Hudson Ringo Starr,1998,[73]
166,"""Only You (And You Alone)""",Buck Ram Ande Rand †,Goodnight Vienna,Richard Perry,1974,[48]
167,"""Oo-Wee""",Vini Poncia Richard Starkey †,Goodnight Vienna,Richard Perry,1974,[48]
168,"""The Other Side of Liverpool""",Richard Starkey Dave Stewart,Y Not,Ringo Starr Bruce Sugar,2010,[64]
169,"""Out on the Streets""",Richard Starkey Vini Poncia,Ringo the 4th,Arif Mardin,1977,[63]
170,"""Pasodobles""",Richard Starkey Mark Hudson Gary Burr Steve Dudas Dean Grakal,Liverpool 8,Ringo Starr Mark Hudson Dave Stewart,2008,[79]
171,"""Pax Um Biscum (Peace Be with You)""",Richard Starkey Mark Hudson Scott Gordon,I Wanna Be Santa Claus,Mark Hudson Ringo Starr,1999,[59]
172,"""Peace Dream""",Richard Starkey Gary Wright Gary Nicholson,Y Not,Ringo Starr Bruce Sugar,2010,[64]
173,"""Picture Show Life""",John Reid John Slate †,Old Wave,Joe Walsh,1983,[47]
174,"""Photograph""[f]",Richard Starkey George Harrison,Ringo,Richard Perry,1973,[69]
175,"""Postcards from Paradise""",Richard Starkey Todd Rundgren,Postcards from Paradise,Ringo Starr,2015,[56]
176,"""Private Property""",Paul McCartney †,Stop and Smell the Roses,Paul McCartney,1981,[50]
177,"""Puppet""",Richard Starkey Mark Hudson Steve Dudas,Vertical Man,Mark Hudson Ringo Starr,1998,[73]
178,"""Pure Gold""",Paul McCartney †,Ringo's Rotogravure,Arif Mardin,1976,[67]
179,"""Really Love You"" (Paul McCartney)",Paul McCartney Richard Starkey,Flaming Pie (Paul McCartney album),Paul McCartney Jeff Lynne,1997,[88]
180,"""Red and Black Blues""",Lane Tietgen †,Stop and Smell the Roses (1994 reissue),Stephen Stills,1994,[62]
181,"""Rewind Forward""",Richard Starkey Bruce Sugar,Rewind Forward (EP),Ringo Starr,2023,[78]
182,"""Right Side of the Road""",Richard Starkey Richard Marx,Postcards from Paradise,Ringo Starr,2015,[56]
183,"""Rock Around the Clock""",Max C. Freedman James E. Myers †,Change the World (EP),Ringo Starr Bruce Sugar,2021,[66]
184,"""Rock Island Line""",Kelly Pace †,Ringo 2012,Ringo Starr,2012,[49]
185,"""Rory and the Hurricanes""",Richard Starkey Dave Stewart,Postcards from Paradise,Ringo Starr,2015,[56]
186,"""Rudolph the Red-Nosed Reindeer""",Johnny Marks †,I Wanna Be Santa Claus,Mark Hudson Ringo Starr,1999,[59]
187,"""Runaways""",Richard Starkey Johnny Warman,Time Takes Time,Phil Ramone,1992,[46]
188,"""Running Free""",Roger Brown †,Scouse the Mouse,Hugh Murphy,1977,[61]
189,"""R U Ready?""",Richard Starkey Mark Hudson Gary Burr Steve Dudas,Liverpool 8,Ringo Starr Mark Hudson Dave Stewart,2008,[79]
190,"""Samba""",Richard Starkey Van Dyke Parks,Ringo 2012,Ringo Starr,2012,[49]
191,"""Satisfied""",Richard Starkey Mark Hudson Gary Nicholson,Choose Love,Mark Hudson Ringo Starr,2005,[65]
192,"""Scouse's Dream""",Roger Brown †,Scouse the Mouse,Hugh Murphy,1977,[61]
193,"""Scouse the Mouse""",Roger Brown †,Scouse the Mouse,Hugh Murphy,1977,[61]
194,"""See You Later, Alligator""",Robert Guidry †,Songs from Quarantine Vol. 2,Ringo Starr,2021,[89]
195,"""Send Love Spread Peace""",Richard Starkey Gary Nicholson,What's My Name,Ringo Starr,2019,[57]
196,"""Sentimental Journey""",Bud Green Les Brown Bon Homer †,Sentimental Journey,George Martin,1970,[60]
197,"""Shadows on the Wall""",Steve Lukather Joseph Williams †,Rewind Forward (EP),Ringo Starr,2023,[78]
198,"""Silent Homecoming""",Sorrells Pickard †,Beaucoups of Blues,Pete Drake,1970,[44]
199,"""Simple Love Song""",Richard Starkey Vini Poncia,Ringo the 4th,Arif Mardin,1977,[63]
200,"""Six O'Clock""",Paul McCartney Linda McCartney †,Ringo,Richard Perry,1973,[69]
201,"""Shake It Up""",Richard Starkey Gary Nicholson,Give More Love,Ringo Starr,2017,[51]
202,"""She's About a Mover""",Doug Sahm †,Old Wave,Joe Walsh,1983,[47]
203,"""Show Me the Way""",Richard Starkey Steve Lukather,Give More Love,Ringo Starr,2017,[51]
204,"""Slow Down""",Richard Starkey Joe Walsh,Ringo 2012,Ringo Starr,2012,[49]
205,"""Sneaking Sally Through the Alley""",Allen Toussaint †,Ringo the 4th,Arif Mardin,1977,[63]
206,"""Snookeroo""",Elton John Bernie Taupin †,Goodnight Vienna,Richard Perry,1974,[48]
207,"""So Wrong for So Long""",Richard Starkey Dave Stewart,Give More Love,Ringo Starr,2017,[51]
208,"""Some People""",Richard Starkey Mark Hudson Gary Burr Steve Dudas Dean Grakal,Choose Love,Mark Hudson Ringo Starr,2005,[65]
209,"""S.O.S.""",Roger Brown †,Scouse the Mouse,Hugh Murphy,1977,[61]
210,"""Speed of Sound""",Richard Starkey Richard Marx,Give More Love,Ringo Starr,2017,[51]
211,"""Spooky Weirdness""",–,Ringo's Rotogravure,Arif Mardin,1976,[67]
212,"""Standing Still""",Richard Starkey Gary Burr,Give More Love,Ringo Starr,2017,[51]
213,"""Stardust""",Hoagy Carmichael Mitchell Parish †,Sentimental Journey,George Martin,1970,[60]
214,"""Step Lightly""[g]",Richard Starkey,Ringo,Richard Perry,1973,[69]
215,"""Stop and Take the Time to Smell the Roses""",Harry Nilsson Richard Starkey,Stop and Smell the Roses,Harry Nilsson,1981,[50]
216,"""Sun City"" (Artists United Against Apartheid)",Steven Van Zandt †,Non-album single,Steven Van Zandt,1985,[90]
217,"""Sunshine Life for Me (Sail Away Raymond)""",George Harrison †,Ringo,Richard Perry,1973,[69]
218,"""Sure to Fall""",Carl Perkins Quinton Claunch William Cantrell †,Stop and Smell the Roses,Paul McCartney,1981,[50]
219,"""Tango All Night""",Steve Hague Tom Seufert †,Ringo the 4th,Arif Mardin,1977,[63]
220,"""Teach Me to Tango""",Richard Starkey Sam Hollander Grant Michaels,Zoom In (EP),Sam Hollander Grant Michaels,2021,[80]
221,"""Time""",Richard Starkey Dave Stewart,Y Not,Ringo Starr Bruce Sugar,2010,[64]
222,"""Thank God for Music""",Richard Starkey Grant Michaels Sam Hollander,What's My Name,Ringo Starr,2019,[57]
223,"""Think About You""",Richard Starkey Mark Hudson Gary Burr Steve Dudas,Liverpool 8,Ringo Starr Mark Hudson Dave Stewart,2008,[79]
224,"""Think It Over""",Buddy Holly Norman Petty †,Ringo 2012,Ringo Starr,2012,[49]
225,"""This Be Called a Song""",Eric Clapton †,Ringo's Rotogravure,Arif Mardin,1976,[67]
226,"""Tonight""",Ian McLagan John Pidgeon †,Bad Boy,Vini Poncia,1978,[55]
227,"""Touch and Go""",Richard Starkey Gary Burr,Postcards from Paradise,Ringo Starr,2015,[56]
228,"""Trippin' on My Own Tears""",Richard Starkey Mark Hudson Gary Burr Dean Grakal,Ringo Rama,Mark Hudson Ringo Starr,2003,[75]
229,"""Tuff Love""",Richard Starkey Mark Hudson Gary Burr Steve Dudas,Liverpool 8,Ringo Starr Mark Hudson Dave Stewart,2008,[79]
230,"""The Turnaround""",Richard Starkey Mark Hudson Gary Burr Steve Dudas Dean Grakal,Choose Love,Mark Hudson Ringo Starr,2005,[65]
231,"""Vertical Man""",Richard Starkey Mark Hudson Dean Grakal Steve Dudas,Vertical Man,Mark Hudson Ringo Starr,1998,[73]
232,"""Waiting""",Chuck Howard †,Beaucoups of Blues,Pete Drake,1970,[44]
233,"""Waiting for the Tide to Turn""",Richard Starkey Bruce Sugar,Zoom In (EP),Ringo Starr Bruce Sugar,2021,[80]
234,"""Wake Up""",Richard Starkey,Stop and Smell the Roses (1994 reissue),Stephen Stills,1994,[62]
235,"""Walk with You"" (with Paul McCartney)",Richard Starkey Van Dyke Parks,Y Not,Ringo Starr Bruce Sugar,2010,[64]
236,"""We're on the Road Again""",Richard Starkey Steve Lukather,Give More Love,Ringo Starr,2017,[51]
237,"""Weight of the World""",Brian O'Doherty Fred Velez †,Time Takes Time,Don Was,1992,[46]
238,"""What Goes Around""",Rick Suchow †,Time Takes Time,Don Was,1992,[46]
239,"""What in the ... World""",Richard Starkey Mark Hudson Dean Grakal Steve Dudas,Vertical Man,Mark Hudson Ringo Starr,1998,[73]
